t,x,v
0,2,0
0.00593013,1.99997,-0.0108651
0.011421,1.99988,-0.0193398
0.0177641,1.99973,-0.0275407
0.0247651,1.99951,-0.0349534
0.0323704,1.99922,-0.0414253
0.040559,1.99886,-0.0469286
0.0493324,1.99843,-0.0515066
0.0587086,1.99793,-0.0552408
0.0687195,1.99736,-0.0582311
0.0794108,1.99672,-0.0605833
0.0908424,1.99602,-0.0624011
0.103091,1.99524,-0.0637814
0.116251,1.9944,-0.0648115
0.130441,1.99347,-0.0655678
0.145808,1.99246,-0.0661157
0.162539,1.99135,-0.0665096
0.180865,1.99013,-0.0667941
0.201089,1.98878,-0.0670049
0.2236,1.98727,-0.0671697
0.248923,1.98556,-0.0673103
0.277772,1.98362,-0.0674433
0.311169,1.98136,-0.0675822
0.350654,1.97869,-0.0677393
0.398827,1.97543,-0.0679286
0.461631,1.97115,-0.0681764
0.531934,1.96635,-0.0684569
0.606728,1.96122,-0.0687593
0.678638,1.95626,-0.0690542
0.7505,1.95129,-0.0693529
0.822577,1.94628,-0.0696568
0.894768,1.94124,-0.0699655
0.967064,1.93617,-0.0702792
1.03947,1.93107,-0.0705978
1.11198,1.92594,-0.0709217
1.1846,1.92078,-0.0712509
1.25733,1.91558,-0.0715856
1.33018,1.91036,-0.071926
1.40313,1.9051,-0.0722721
1.47619,1.8998,-0.0726242
1.54936,1.89448,-0.0729824
1.62264,1.88911,-0.0733469
1.69603,1.88372,-0.0737179
1.76953,1.87829,-0.0740956
1.84315,1.87282,-0.0744802
1.91688,1.86731,-0.074872
1.99072,1.86177,-0.075271
2.06467,1.85619,-0.0756776
2.13874,1.85057,-0.076092
2.21292,1.84491,-0.0765145
2.28721,1.8392,-0.0769452
2.36162,1.83346,-0.0773846
2.43615,1.82768,-0.0778329
2.51079,1.82185,-0.0782903
2.58555,1.81598,-0.0787572
2.66043,1.81007,-0.079234
2.73543,1.80411,-0.079721
2.81054,1.7981,-0.0802185
2.88578,1.79205,-0.080727
2.96113,1.78594,-0.0812468
3.03661,1.77979,-0.0817784
3.11221,1.77359,-0.0823223
3.18793,1.76733,-0.0828788
3.26377,1.76103,-0.0834486
3.33974,1.75466,-0.0840321
3.41584,1.74825,-0.0846299
3.49206,1.74177,-0.0852426
3.56841,1.73524,-0.0858709
3.6449,1.72865,-0.0865154
3.72151,1.722,-0.0871768
3.79825,1.71528,-0.0878558
3.87513,1.7085,-0.0885534
3.95214,1.70165,-0.0892702
4.02928,1.69474,-0.0900074
4.10657,1.68775,-0.0907657
4.18399,1.68069,-0.0915463
4.26156,1.67356,-0.0923503
4.33927,1.66635,-0.0931788
4.41712,1.65907,-0.0940332
4.49512,1.6517,-0.0949148
4.57327,1.64424,-0.0958251
4.65157,1.6367,-0.0967658
4.73003,1.62907,-0.0977384
4.80864,1.62135,-0.0987449
4.88741,1.61353,-0.0997874
4.96635,1.60561,-0.100868
5.04545,1.59759,-0.101989
5.12472,1.58946,-0.103153
5.20417,1.58122,-0.104363
5.28379,1.57286,-0.105622
5.3636,1.56438,-0.106934
5.44359,1.55577,-0.108301
5.52377,1.54703,-0.109729
5.60416,1.53815,-0.111222
5.68475,1.52912,-0.112785
5.76554,1.51994,-0.114423
5.84656,1.5106,-0.116143
5.92781,1.50109,-0.117953
6.00929,1.49141,-0.119859
6.09102,1.48153,-0.121871
6.173,1.47145,-0.123998
6.25526,1.46116,-0.126254
6.3378,1.45064,-0.12865
6.42064,1.43988,-0.131202
6.50381,1.42885,-0.133928
6.58731,1.41755,-0.136848
6.67118,1.40594,-0.139986
6.75544,1.39401,-0.14337
6.84012,1.38171,-0.147035
6.92527,1.36903,-0.151022
7.01091,1.35591,-0.155378
7.09712,1.34231,-0.160166
7.18393,1.32818,-0.165459
7.27143,1.31345,-0.171351
7.35971,1.29804,-0.177964
7.44885,1.28184,-0.185453
7.53899,1.26475,-0.194023
7.63027,1.2466,-0.203951
7.72285,1.22719,-0.215622
7.81694,1.20626,-0.229575
7.91273,1.18348,-0.246598
8.01037,1.1584,-0.267864
8.10987,1.13045,-0.295158
8.20987,1.09923,-0.330831
8.30987,1.06387,-0.37896
8.40987,1.02279,-0.446917
8.50987,0.973379,-0.548601
8.59739,0.919756,-0.687178
8.66118,0.871348,-0.840106
8.71455,0.821861,-1.02541
8.76015,0.770261,-1.25064
8.79986,0.71545,-1.52568
8.83496,0.656297,-1.86287
8.86639,0.59156,-2.27765
8.89784,0.511409,-2.85235
8.92632,0.42041,-3.5775
8.95219,0.316736,-4.48206
8.97608,0.19687,-5.60643
8.99766,0.0621411,-6.93193
9.01803,-0.0944497,-8.49395
9.03504,-0.251601,-10.0123
9.05189,-0.433682,-11.6086
9.06822,-0.63525,-13.0329
9.08619,-0.879843,-14.0494
9.10009,-1.07653,-14.1144
9.11409,-1.26979,-13.3646
9.1275,-1.44003,-11.9195
9.14215,-1.59957,-9.80425
9.15398,-1.70473,-7.96486
9.16618,-1.79078,-6.17488
9.17801,-1.85466,-4.66969
9.19008,-1.90319,-3.41895
9.19993,-1.93273,-2.6087
9.2099,-1.95537,-1.96012
9.21899,-1.97098,-1.49656
9.22756,-1.98228,-1.15135
9.23581,-1.99065,-0.888258
9.24384,-1.99693,-0.685245
9.2517,-2.00168,-0.527383
9.25943,-2.00526,-0.404002
9.26704,-2.00795,-0.307225
9.27455,-2.00996,-0.231127
9.28195,-2.01144,-0.171185
9.28924,-2.01251,-0.12392
9.2964,-2.01326,-0.0866347
9.30341,-2.01376,-0.0572353
9.31022,-2.01407,-0.0340949
9.31677,-2.01423,-0.0159604
9.32294,-2.01428,-0.00189775
9.32849,-2.01426,0.00868357
9.33365,-2.0142,0.017031
9.3397,-2.01407,0.0252798
9.34641,-2.01387,0.0328184
9.35373,-2.01361,0.0394502
9.36163,-2.01327,0.045123
9.3701,-2.01287,0.0498661
9.37915,-2.0124,0.0537528
9.38881,-2.01186,0.0568788
9.39913,-2.01126,0.0593481
9.41017,-2.0106,0.0612642
9.42198,-2.00987,0.0627249
9.43466,-2.00906,0.0638189
9.44832,-2.00819,0.0646245
9.46309,-2.00723,0.0652089
9.47915,-2.00617,0.0656286
9.49672,-2.00502,0.0659299
9.51606,-2.00374,0.06615
9.53755,-2.00232,0.0663182
9.56164,-2.00072,0.0664571
9.58899,-1.9989,0.0665841
9.62052,-1.9968,0.0667131
9.65755,-1.99432,0.0668559
9.70228,-1.99133,0.067025
9.75902,-1.98752,0.0672395
9.83243,-1.98258,0.0675197
9.90859,-1.97742,0.0678142
9.97996,-1.97257,0.068094
10.0513,-1.9677,0.0683777
10.1231,-1.96279,0.0686665
10.1949,-1.95784,0.0689598
10.2668,-1.95287,0.0692575
10.3389,-1.94787,0.06956
10.411,-1.94284,0.0698671
10.4833,-1.93778,0.0701792
10.5557,-1.93269,0.0704962
10.6282,-1.92757,0.0708185
10.7007,-1.92242,0.071146
10.7734,-1.91723,0.0714789
10.8462,-1.91202,0.0718174
10.9192,-1.90677,0.0721617
10.9922,-1.90149,0.0725119
11.0653,-1.89617,0.0728681
11.1386,-1.89082,0.0732306
11.2119,-1.88543,0.0735996
11.2854,-1.88001,0.0739751
11.359,-1.87455,0.0743575
11.4327,-1.86906,0.074747
11.5065,-1.86353,0.0751437
11.5804,-1.85796,0.0755478
11.6544,-1.85235,0.0759597
11.7286,-1.8467,0.0763796
11.8028,-1.84102,0.0768077
11.8772,-1.83529,0.0772443
11.9517,-1.82952,0.0776897
12.0263,-1.8237,0.0781442
12.101,-1.81785,0.0786081
12.1759,-1.81195,0.0790818
12.2508,-1.806,0.0795655
12.3259,-1.80001,0.0800596
12.4011,-1.79397,0.0805645
12.4764,-1.78788,0.0810807
12.5518,-1.78175,0.0816085
12.6274,-1.77556,0.0821484
12.7031,-1.76932,0.0827009
12.7789,-1.76303,0.0832664
12.8548,-1.75669,0.0838455
12.9309,-1.75029,0.0844387
13.0071,-1.74383,0.0850467
13.0834,-1.73732,0.0856699
13.1598,-1.73075,0.0863092
13.2364,-1.72411,0.0869651
13.3131,-1.71742,0.0876385
13.3899,-1.71066,0.0883301
13.4669,-1.70383,0.0890408
13.544,-1.69694,0.0897714
13.6212,-1.68997,0.0905229
13.6986,-1.68294,0.0912963
13.7761,-1.67583,0.0920927
13.8538,-1.66865,0.0929134
13.9316,-1.66139,0.0937594
14.0096,-1.65404,0.0946322
14.0877,-1.64662,0.0955333
14.1659,-1.6391,0.0964641
14.2443,-1.6315,0.0974264
14.3229,-1.62381,0.098422
14.4016,-1.61602,0.0994528
14.4805,-1.60814,0.100521
14.5595,-1.60015,0.101629
14.6387,-1.59205,0.102779
14.7181,-1.58384,0.103974
14.7977,-1.57552,0.105217
14.8775,-1.56708,0.106512
14.9574,-1.55851,0.107861
15.0375,-1.54981,0.10927
15.1178,-1.54098,0.110741
15.1984,-1.532,0.112281
15.2791,-1.52287,0.113895
15.36,-1.51358,0.115589
15.4412,-1.50413,0.117369
15.5226,-1.4945,0.119243
15.6043,-1.48468,0.121221
15.6862,-1.47467,0.12331
15.7683,-1.46445,0.125524
15.8508,-1.454,0.127874
15.9335,-1.44332,0.130375
16.0166,-1.43238,0.133043
16.1,-1.42117,0.135899
16.1837,-1.40966,0.138965
16.2679,-1.39783,0.142268
16.3524,-1.38565,0.145841
16.4374,-1.37309,0.14972
16.5229,-1.36012,0.153953
16.6089,-1.34668,0.158597
16.6955,-1.33272,0.16372
16.7828,-1.31819,0.169411
16.8708,-1.303,0.175781
16.9597,-1.28707,0.182972
17.0495,-1.27028,0.191173
17.1404,-1.25248,0.200635
17.2325,-1.23349,0.211703
17.3261,-1.21308,0.224861
17.4213,-1.19093,0.240806
17.5184,-1.16664,0.260568
17.6173,-1.13967,0.285707
17.7173,-1.10953,0.318403
17.8173,-1.07563,0.361975
17.9173,-1.03658,0.422543
18.0173,-0.990187,0.511372
18.1173,-0.932636,0.651029
18.1848,-0.884094,0.797172
18.2406,-0.834995,0.97332
18.288,-0.784053,1.18722
18.3291,-0.730191,1.44812
18.3653,-0.672291,1.76766
18.3976,-0.609148,2.16041
18.43,-0.530951,2.70636
18.4592,-0.442433,3.39554
18.4856,-0.341934,4.25552
18.5099,-0.226189,5.32524
18.5319,-0.09531,6.60194
18.5524,0.0545722,8.0978
18.5698,0.208296,9.60321
18.5871,0.388105,11.2315
18.6034,0.584121,12.7142
18.6206,0.813168,13.8647
18.635,1.01629,14.1762
18.6496,1.22028,13.6417
18.663,1.39563,12.3733
18.6771,1.55668,10.4503
18.689,1.66981,8.61693
18.7017,1.76722,6.69136
18.7134,1.83626,5.11932
18.7263,1.89257,3.70088
18.7364,1.92539,2.81356
18.7457,1.94834,2.1642
18.755,1.96598,1.64671
18.7637,1.97861,1.26437
18.7721,1.98792,0.974848
18.7802,1.99488,0.752269
18.7881,2.00013,0.579607
18.7959,2.00409,0.444876
18.8035,2.00707,0.339317
18.811,2.00931,0.256379
18.8185,2.01096,0.191085
18.8258,2.01217,0.139615
18.833,2.01302,0.0990157
18.8401,2.01361,0.0669943
18.847,2.01398,0.0417688
18.8536,2.01419,0.0219605
18.86,2.01428,0.00652397
18.8648,2.01428,-0.00343318
18.8696,2.01424,-0.0120398
18.8752,2.01415,-0.0204782
18.8816,2.014,-0.0284727
18.8885,2.01377,-0.0356531
18.8961,2.01348,-0.0418923
18.9042,2.01312,-0.0471771
18.9129,2.01269,-0.0515585
18.9222,2.01219,-0.055121
18.9321,2.01163,-0.0579649
18.9428,2.011,-0.0601951
18.9541,2.01031,-0.061913
18.9662,2.00955,-0.0632132
18.9793,2.00871,-0.0641801
18.9934,2.0078,-0.0648875
19.0087,2.00681,-0.0653981
19.0253,2.00571,-0.0657642
19.0436,2.00451,-0.0660282
19.0638,2.00318,-0.0662238
19.0863,2.00169,-0.0663776
19.1116,2,-0.0665098
19.1405,1.99808,-0.0666361
19.1741,1.99584,-0.0667694
19.214,1.99317,-0.0669213
19.2629,1.9899,-0.0671058
19.3275,1.98555,-0.0673509
