t,x,v
0,2,0
0.00330476,1.99999,-0.00629244
0.00652074,1.99996,-0.0118451
0.0101942,1.99991,-0.0175655
0.0142272,1.99982,-0.0231608
0.0185747,1.99971,-0.0284807
0.0232113,1.99957,-0.0334399
0.0281228,1.99939,-0.0379931
0.0333021,1.99918,-0.0421216
0.0387473,1.99894,-0.0458244
0.0444606,1.99867,-0.049113
0.0504476,1.99837,-0.0520072
0.0567171,1.99804,-0.0545324
0.0632807,1.99767,-0.0567169
0.0701534,1.99727,-0.0585913
0.077353,1.99685,-0.0601862
0.084901,1.99639,-0.0615322
0.0928227,1.99589,-0.0626588
0.101148,1.99537,-0.0635937
0.109911,1.99481,-0.0643632
0.119153,1.99421,-0.0649914
0.128922,1.99357,-0.0655003
0.139273,1.99289,-0.0659097
0.150274,1.99217,-0.0662375
0.162004,1.99139,-0.0664994
0.174557,1.99055,-0.066709
0.18805,1.98965,-0.0668784
0.202624,1.98867,-0.0670179
0.218455,1.98761,-0.0671364
0.235767,1.98645,-0.0672413
0.254846,1.98516,-0.0673392
0.276072,1.98373,-0.0674359
0.299964,1.98212,-0.0675366
0.32727,1.98028,-0.0676467
0.359172,1.97812,-0.0677728
0.397899,1.97549,-0.0679249
0.45054,1.97191,-0.0681325
0.50252,1.96836,-0.0683391
0.554538,1.9648,-0.0685478
0.605545,1.9613,-0.0687545
0.656355,1.9578,-0.0689623
0.707134,1.95429,-0.0691721
0.757915,1.95077,-0.069384
0.808706,1.94725,-0.069598
0.859508,1.9437,-0.0698142
0.910322,1.94015,-0.0700326
0.961147,1.93659,-0.0702533
1.01198,1.93301,-0.0704763
1.06283,1.92942,-0.0707016
1.11369,1.92582,-0.0709294
1.16456,1.9222,-0.0711596
1.21545,1.91858,-0.0713922
1.26634,1.91494,-0.0716274
1.31725,1.91128,-0.0718652
1.36817,1.90762,-0.0721055
1.4191,1.90394,-0.0723486
1.47004,1.90025,-0.0725943
1.521,1.89654,-0.0728428
1.57196,1.89282,-0.0730942
1.62294,1.88909,-0.0733484
1.67393,1.88535,-0.0736055
1.72493,1.88159,-0.0738657
1.77594,1.87781,-0.0741288
1.82697,1.87402,-0.0743951
1.878,1.87022,-0.0746646
1.92905,1.8664,-0.0749373
1.98011,1.86257,-0.0752132
2.03118,1.85872,-0.0754926
2.08226,1.85485,-0.0757754
2.13336,1.85097,-0.0760617
2.18447,1.84708,-0.0763515
2.23558,1.84317,-0.076645
2.28671,1.83924,-0.0769423
2.33786,1.8353,-0.0772434
2.38901,1.83134,-0.0775483
2.44017,1.82737,-0.0778573
2.49135,1.82337,-0.0781703
2.54254,1.81936,-0.0784875
2.59374,1.81534,-0.0788089
2.64495,1.81129,-0.0791347
2.69618,1.80723,-0.0794649
2.74741,1.80315,-0.0797997
2.79866,1.79905,-0.0801391
2.84992,1.79494,-0.0804834
2.90119,1.7908,-0.0808325
2.95248,1.78665,-0.0811865
3.00377,1.78247,-0.0815458
3.05508,1.77828,-0.0819102
3.1064,1.77407,-0.08228
3.15773,1.76983,-0.0826554
3.20908,1.76558,-0.0830364
3.26043,1.7613,-0.0834232
3.3118,1.75701,-0.0838159
3.36318,1.75269,-0.0842147
3.41457,1.74835,-0.0846198
3.46598,1.74399,-0.0850313
3.51739,1.73961,-0.0854494
3.56882,1.73521,-0.0858742
3.62026,1.73078,-0.0863061
3.67171,1.72633,-0.086745
3.72318,1.72185,-0.0871913
3.77466,1.71735,-0.0876452
3.82615,1.71282,-0.0881069
3.87765,1.70827,-0.0885765
3.92917,1.7037,-0.0890544
3.98069,1.6991,-0.0895408
4.03224,1.69447,-0.0900359
4.08379,1.68982,-0.09054
4.13536,1.68513,-0.0910534
4.18694,1.68042,-0.0915764
4.23853,1.67569,-0.0921092
4.29013,1.67092,-0.0926522
4.34175,1.66612,-0.0932057
4.39339,1.66129,-0.0937701
4.44503,1.65644,-0.0943457
4.49669,1.65155,-0.0949328
4.54837,1.64663,-0.095532
4.60006,1.64167,-0.0961436
4.65176,1.63669,-0.096768
4.70347,1.63167,-0.0974057
4.7552,1.62661,-0.0980571
4.80695,1.62152,-0.0987229
4.85871,1.61639,-0.0994035
4.91049,1.61123,-0.100099
4.96228,1.60602,-0.100811
5.01409,1.60078,-0.10154
5.06591,1.5955,-0.102285
5.11775,1.59018,-0.103049
5.16961,1.58481,-0.103831
5.22148,1.57941,-0.104633
5.27337,1.57396,-0.105455
5.32528,1.56846,-0.106297
5.37721,1.56292,-0.107162
5.42915,1.55733,-0.10805
5.48112,1.55169,-0.108962
5.5331,1.546,-0.109899
5.58511,1.54026,-0.110862
5.63714,1.53447,-0.111853
5.68919,1.52862,-0.112873
5.74126,1.52271,-0.113923
5.79336,1.51675,-0.115005
5.84548,1.51073,-0.11612
5.89762,1.50464,-0.11727
5.9498,1.49849,-0.118458
6.002,1.49228,-0.119684
6.05423,1.48599,-0.120952
6.10649,1.47964,-0.122263
6.15878,1.47321,-0.123621
6.21111,1.46671,-0.125028
6.26347,1.46012,-0.126486
6.31587,1.45345,-0.128
6.36831,1.4467,-0.129572
6.42079,1.43986,-0.131207
6.47332,1.43292,-0.132908
6.52589,1.42589,-0.134681
6.57852,1.41875,-0.136531
6.6312,1.41151,-0.138463
6.68393,1.40415,-0.140482
6.73673,1.39668,-0.142597
6.78959,1.38909,-0.144815
6.84253,1.38136,-0.147144
6.89554,1.37349,-0.149593
6.94863,1.36548,-0.152174
7.00181,1.35732,-0.154897
7.05509,1.34899,-0.157778
7.10848,1.34049,-0.16083
7.16198,1.3318,-0.164071
7.2156,1.32291,-0.167522
7.26936,1.3138,-0.171205
7.32327,1.30447,-0.175146
7.37734,1.29489,-0.179376
7.43159,1.28503,-0.183932
7.48603,1.27489,-0.188855
7.54069,1.26442,-0.194195
7.59558,1.2536,-0.200012
7.65072,1.2424,-0.206378
7.70614,1.23077,-0.213378
7.76185,1.21867,-0.221118
7.81788,1.20605,-0.229727
7.87424,1.19283,-0.239364
7.93093,1.17896,-0.250227
7.98794,1.16435,-0.262561
8.04522,1.14892,-0.276674
8.10266,1.13257,-0.292945
8.16012,1.11521,-0.311841
8.21733,1.09675,-0.333927
8.27396,1.07713,-0.359873
8.32958,1.05629,-0.390472
8.38379,1.03418,-0.426672
8.43624,1.0107,-0.469654
8.48678,0.985721,-0.520989
8.53542,0.958933,-0.582899
8.58242,0.929826,-0.658758
8.62836,0.897465,-0.754199
8.67454,0.859857,-0.880487
8.71269,0.823765,-1.01773
8.74675,0.786514,-1.17616
8.77731,0.747907,-1.35839
8.80481,0.707788,-1.56702
8.82934,0.666588,-1.80128
8.85157,0.623703,-2.06592
