t,x,v
0,2,0
0.01,1.99991,-0.0172774
0.02,1.99967,-0.0300773
0.03,1.99932,-0.0395618
0.04,1.99889,-0.0465922
0.05,1.99839,-0.0518064
0.06,1.99785,-0.0556765
0.07,1.99728,-0.058552
0.08,1.99669,-0.0606914
0.09,1.99607,-0.0622858
0.1,1.99544,-0.0634769
0.11,1.9948,-0.0643694
0.12,1.99415,-0.0650406
0.13,1.9935,-0.065548
0.14,1.99284,-0.0659341
0.15,1.99218,-0.0662302
0.16,1.99152,-0.0664596
0.17,1.99085,-0.0666396
0.18,1.99019,-0.066783
0.19,1.98952,-0.0668992
0.2,1.98885,-0.0669953
0.21,1.98818,-0.0670765
0.22,1.98751,-0.0671466
0.23,1.98684,-0.0672085
0.24,1.98616,-0.0672643
0.25,1.98549,-0.0673156
0.26,1.98482,-0.0673636
0.27,1.98414,-0.0674091
0.28,1.98347,-0.0674529
0.29,1.98279,-0.0674953
0.3,1.98212,-0.0675367
0.31,1.98144,-0.0675775
0.32,1.98077,-0.0676177
0.33,1.98009,-0.0676576
0.34,1.97941,-0.0676972
0.35,1.97874,-0.0677367
0.36,1.97806,-0.0677761
0.37,1.97738,-0.0678154
0.38,1.9767,-0.0678546
0.39,1.97602,-0.0678939
0.4,1.97535,-0.0679332
0.41,1.97467,-0.0679725
0.42,1.97399,-0.0680119
0.43,1.97331,-0.0680513
0.44,1.97263,-0.0680908
0.45,1.97194,-0.0681303
0.46,1.97126,-0.0681699
0.47,1.97058,-0.0682096
0.48,1.9699,-0.0682493
0.49,1.96922,-0.0682891
0.5,1.96853,-0.068329
0.51,1.96785,-0.068369
0.52,1.96717,-0.068409
0.53,1.96648,-0.0684491
0.54,1.9658,-0.0684893
0.55,1.96511,-0.0685295
0.56,1.96443,-0.0685698
0.57,1.96374,-0.0686102
0.58,1.96305,-0.0686507
0.59,1.96237,-0.0686913
0.6,1.96168,-0.0687319
0.61,1.96099,-0.0687726
0.62,1.9603,-0.0688134
0.63,1.95962,-0.0688542
0.64,1.95893,-0.0688952
0.65,1.95824,-0.0689362
0.66,1.95755,-0.0689773
0.67,1.95686,-0.0690185
0.68,1.95617,-0.0690598
0.69,1.95548,-0.0691011
0.7,1.95479,-0.0691425
0.71,1.95409,-0.069184
0.72,1.9534,-0.0692256
0.73,1.95271,-0.0692672
0.74,1.95202,-0.069309
0.75,1.95132,-0.0693508
0.76,1.95063,-0.0693927
