t,x_euler,v_euler,E_euler,x_rk4,v_rk4,E_rk4,x_verlet,v_verlet,E_verlet,x_true,v_true,E_true
0,1,0,0.5,1,0,0.5,1,0,0.5,1,0,0.5
0.1,1,-0.1,0.505,0.995004,-0.0998333,0.5,0.995,-0.09975,0.499988,0.995004,-0.0998334,0.5
0.2,0.99,-0.2,0.51005,0.980067,-0.198669,0.5,0.98005,-0.198502,0.499951,0.980067,-0.198669,0.5
0.3,0.97,-0.299,0.51515,0.955337,-0.29552,0.5,0.9553,-0.29527,0.499891,0.955336,-0.29552,0.5
0.4,0.9401,-0.396,0.520302,0.921061,-0.389418,0.5,0.920996,-0.389085,0.49981,0.921061,-0.389418,0.5
0.5,0.9005,-0.49001,0.525505,0.877583,-0.479425,0.5,0.877483,-0.479009,0.499712,0.877583,-0.479426,0.5
0.6,0.851499,-0.58006,0.53076,0.825336,-0.564642,0.5,0.825194,-0.564143,0.499601,0.825336,-0.564642,0.5
0.7,0.793493,-0.66521,0.536068,0.764843,-0.644217,0.5,0.764654,-0.643635,0.499481,0.764842,-0.644218,0.5
0.8,0.726972,-0.744559,0.541428,0.696707,-0.717356,0.5,0.696467,-0.716691,0.499356,0.696707,-0.717356,0.5
0.9,0.652516,-0.817256,0.546843,0.621611,-0.783326,0.5,0.621316,-0.78258,0.499233,0.62161,-0.783327,0.5
1,0.57079,-0.882508,0.552311,0.540303,-0.84147,0.5,0.539951,-0.840644,0.499114,0.540302,-0.841471,0.5
1.1,0.48254,-0.939587,0.557834,0.453597,-0.891207,0.5,0.453187,-0.8903,0.499007,0.453596,-0.891207,0.5
1.2,0.388581,-0.987841,0.563413,0.362359,-0.932039,0.5,0.361891,-0.931054,0.498914,0.362358,-0.932039,0.5
1.3,0.289797,-1.0267,0.569047,0.2675,-0.963558,0.5,0.266976,-0.962498,0.498839,0.267499,-0.963558,0.5
1.4,0.187127,-1.05568,0.574737,0.169968,-0.985449,0.5,0.169392,-0.984316,0.498786,0.169967,-0.98545,0.5
1.5,0.0815591,-1.07439,0.580484,0.0707384,-0.997495,0.5,0.0701131,-0.996291,0.498756,0.0707372,-0.997495,0.5
1.6,-0.0258801,-1.08255,0.586289,-0.0291982,-0.999574,0.5,-0.0298666,-0.998304,0.498751,-0.0291995,-0.999574,0.5
1.7,-0.134135,-1.07996,0.592152,-0.128843,-0.991665,0.5,-0.129548,-0.990333,0.498771,-0.128844,-0.991665,0.5
1.8,-0.242131,-1.06655,0.598074,-0.227201,-0.973848,0.5,-0.227933,-0.972459,0.498815,-0.227202,-0.973848,0.5
1.9,-0.348785,-1.04233,0.604054,-0.323288,-0.9463,0.5,-0.324039,-0.94486,0.498881,-0.32329,-0.9463,0.5
2,-0.453019,-1.00745,0.610095,-0.416145,-0.909298,0.5,-0.416905,-0.907813,0.498967,-0.416147,-0.909297,0.5
